616.69 331.163 10.7733	940994	616.69	7	12	21.81	1060	1632671	1633010	82		4	13.0084	304
616.678 332.162 10.7049	940976	616.678	7	32	60.2355	939	1650390	1650729	82		4	13.0084	305
616.648 333.161 11.6212	940930	616.648	6	69	172.192	1327	1668113	1668414	64		72	13.462	306
616.7 334.163 11.4351	941009	616.7	7	25	45.9415	1177	1685865	1686213	68		72	13.462	307
616.702 335.163 10.2302	941012	616.702	7	14	25.4077	759	1703621	1703949	89		343	12.3103	308
638.875 336.194 10.82	974846	638.875	8	70	176.53	1189	1737370	1737666	7		250	11.5637	308
659.455 339.155 10.1796	1006248	659.455	8	83	242.476	906	1023859	1024090	21		251	11.2896	310
671.362 330.712 10.7593	1024417	671.362	1	0	0	16	1662949	1662951	25		286	10.8793	301
673.814 340.827 10.0331	1028159	673.814	1	0	0	48	1063633	1063635	4		311	10.0331	311
676.297 334.944 12.3117	1031948	676.297	6	76	204.635	842	1741397	1741471	33		221	14.8683	305
676.139 334.936 11.9614	1031707	676.139	5	120	580.777	1136	1741170	1741210	15		227	13.9467	305
674.489 334.859 11.1944	1029188	674.489	4	151	1194.82	2217	1738641	1738718	8		229	13.6471	305
680.171 335.125 10.1861	1037859	680.171	6	174	2037.74	369	1747280	1747367	36		226	11.9577	305
674.624 335.865 13.0439	1029395	674.624	8	41	80.8605	3192	1756433	1756739	7		224	13.9383	306
676.295 335.944 13.2168	1031945	676.295	5	82	236.704	2454	1759118	1759191	25		39	16.126	306
680.1 337.122 10.6647	1037750	680.1	6	173	1991.01	149	1782651	1782752	23		223	13.0115	307
680.108 338.122 10.1845	1037762	680.108	8	174	2037.74	368	1800257	1800561	30		226	11.9577	308
676.307 341.944 10.0026	1031963	676.307	3	71	180.963	778	1085138	1085180	38		217	12.1223	312
689.879 335.581 10.3524	1052672	689.879	3	97	338.527	2362	1762141	1762160	8		236	11.4815	305
682.397 335.23 10.7928	1041255	682.397	5	138	883.288	1100	1750710	1750758	22		218	12.8661	305
690.218 336.597 10.3989	1053189	690.218	8	25	45.9415	1604	1780288	1780576	35		29	12.3008	306
682.316 336.226 10.6443	1041131	682.316	5	158	1405.7	1177	1768324	1768369	19		218	12.8661	306
682.571 338.238 10.4464	1041521	682.571	8	114	504.798	888	1804077	1804318	29		246	12.6837	308
700.813 329.095 10.1017	1069356	700.813	2	120	580.777	18	1654665	1654685	5		297	11.1009	298
703.289 329.212 13.1805	1073134	703.289	3	130	733.255	1141	1658447	1658479	22		108	15.887	298
700.495 330.08 10.1486	1068871	700.495	8	8	14.6386	497	1671798	1672082	44		318	12.2389	299
703.305 330.213 11.0499	1073158	703.305	3	130	733.255	8	1676198	1676230	32		298	13.1805	299
703.26 330.211 11.2924	1073090	703.26	3	149	1140.59	1608	1676139	1676168	23		296	13.4126	299
700.48 331.08 10.2485	1068847	700.48	8	34	64.5729	551	1689510	1689740	44		318	12.2389	300
703.277 331.211 12.2137	1073115	703.277	3	128	699.882	2049	1693897	1693920	28		103	14.5589	300
703.315 331.213 12.2077	1073173	703.315	3	129	716.376	4	1693957	1693988	27		110	14.5813	300
700.493 332.08 10.4143	1068868	700.493	8	8	14.6386	804	1707249	1707501	43		319	12.6425	301
703.334 332.214 12.1778	1073203	703.334	5	126	668.015	1876	1711660	1711755	55		115	14.8025	301
700.476 333.08 10.7596	1068842	700.476	8	34	64.5729	996	1724940	1725277	40		313	13.018	302
700.329 333.073 10.1114	1068617	700.329	3	104	399.274	75	1724873	1724900	12		316	11.5443	302
703.262 333.211 11.4255	1073092	703.262	3	145	1039.37	1	1729355	1729375	1		302	11.4255	302
703.304 333.213 11.9929	1073157	703.304	3	145	1039.37	1631	1729415	1729449	28		110	14.5813	302
700.438 334.078 10.7343	1068783	700.438	8	58	130.092	1278	1742654	1742935	41		313	13.018	303
700.361 334.074 10.4055	1068666	700.361	2	75	199.691	1	1742651	1742678	1		303	10.4055	303
703.357 334.215 10.5504	1073238	703.357	3	127	683.765	902	1747231	1747253	23		161	12.1798	303
703.012 335.199 11.4311	1072711	703.012	2	22	40.1604	314	1764451	1764460	19		270	13.0423	304
700.438 335.078 11.0848	1068784	700.438	8	56	123.419	16	1760390	1760678	39		317	13.5035	304
700.353 335.074 11.508	1068654	700.353	3	89	279.963	1999	1760379	1760408	8		306	13.594	304
703.319 335.213 10.4662	1073180	703.319	2	130	733.255	6	1764909	1764929	31		300	12.2077	304
703.012 336.199 10.5677	1072711	703.012	2	22	40.1604	339	1782188	1782195	26		74	12.6556	305
700.434 336.078 12.1426	1068777	700.434	8	56	123.419	1526	1778102	1778482	43		329	14.8356	305
700.352 336.074 11.4165	1068653	700.352	3	80	225.537	2	1778116	1778161	1		305	11.4165	305
703.486 336.221 11.0516	1073434	703.486	4	136	843.141	509	1782901	1782929	31		42	12.7365	305
702.765 336.187 10.1395	1072335	702.765	2	138	883.288	244	1781807	1781830	19		253	11.8609	305
703.296 336.212 11.4264	1073145	703.296	3	145	1039.37	1937	1782615	1782641	34		107	13.6843	305
700.341 337.073 13.594	1068635	700.341	3	87	266.903	1766	1795838	1795874	7		307	14.0858	306
702.843 337.191 10.5825	1072453	702.843	2	91	293.626	114	1799661	1799676	9		268	12.1864	306
702.775 337.188 10.1385	1072349	702.775	3	138	883.288	114	1799559	1799588	19		253	11.8609	306
703.305 337.213 11.02	1073158	703.305	3	146	1063.8	22	1800366	1800386	32		298	13.1805	306
703.285 337.212 11.6793	1073128	703.285	3	153	1251.63	101	1800340	1800354	33		297	14.2469	306
703.262 337.211 10.7098	1073093	703.262	3	161	1507.08	1748	1800304	1800316	29		104	12.6291	306
